,Input Date,Object X ID,OEM Company,Product/Category,Level,Position Title,Hours,Years Exp High,Years Exp Low,Quoted Rate High,Quoted Rate Low,CEP Provided Rate High,CEP Provided Rate Low,Deal Total,Country,City/State,Currency Notes,Document Name,Database Practice
18706,2018-01-05,a1t2J000005OXyLQAW,,,,Delivery Manager,,,,,225.0,275.0,190.0,,USA,,,,Services
4151,2018-01-05,a1t2J000005OXyLQAW,,,,Senior Technical Consultant,,,,,225.0,250.0,185.0,,USA,,,,Services
13514,2018-01-04,a1t2J000005Ypl6QAC,,Internal Audit,,Managing Director,,,,,333.0,350.0,325.0,,USA,,,,Services
7130,2018-01-04,a1t2J000005Ypl6QAC,,Internal Audit,,Senior Consultant,,,,,159.0,190.0,150.0,,USA,,,,Services
17494,2018-01-04,a1t2J000005Ypl6QAC,,Internal Audit,,Director,,,,,282.0,330.0,275.0,,USA,,,,Services
23875,2018-01-04,a1t2J000005Ypl6QAC,,Internal Audit,,Associate Director,,,,,231.0,280.0,230.0,,USA,,,,Services
13599,2018-01-04,a1t2J000005Ypl6QAC,,Internal Audit,,Manager,,,,,195.0,225.0,185.0,,USA,,,,Services
6656,2018-01-04,a1t2J000005Ypl6QAC,,Internal Audit,,Senior Manager,,,,,220.0,250.0,210.0,,USA,,,,Services
21724,2018-01-04,a1t2J000005Ypl6QAC,,Internal Audit,,Consultant,,,,,133.0,155.0,125.0,,USA,,,,Services
16828,2018-01-09,a1t2J000005YplLQAS,,,,Expert Remote Services,,,,,225.23,280.0,200.0,,USA,,,,Services
3069,2018-01-09,a1t2J000005YpwYQAS,,Documentation,,Tech Writer,,,,,243.75,255.0,225.0,,USA,,,,Services
6603,2018-01-09,a1t2J000005YpwYQAS,,NAS migration lead,,Senior Migration Consultant,,,,,270.0,285.0,245.0,,USA,,,,Services
9750,2018-01-09,a1t2J000005YpwYQAS,,Project management,,Project Manager,,,,,243.75,275.0,235.0,,USA,,,,Services
12354,2018-01-09,a1t2J000005YpwYQAS,,Workload measurements,,OCI Consultant,,,,,270.0,285.0,245.0,,USA,,,,Services
13095,2018-01-09,a1t2J000005YpwYQAS,,NAS migration,,Migration Consultants,,,,,105.3,110.0,50.0,,India,,,,Services
16776,2018-01-09,a1t2J000005YpwYQAS,,Storage installation,,Field Support Engineer,,,,,197.34,240.0,175.0,,USA,,,,Services
3989,2018-01-09,a1t2J000005YpwYQAS,,Storage planning and implementation,,Storage Consultants,,,,,270.0,285.0,245.0,,USA,,,,Services
11231,2018-01-18,a1t2J000005YpyPQAS,SAP,,,Principal Consultant - Big Data,,,,,375.0,400.0,350.0,,USA,,,,Services
4840,2018-01-18,a1t2J000005YpyPQAS,SAP,,,Sr Consultant - Security,,,,,325.0,350.0,275.0,,USA,,,,Services
11353,2018-01-18,a1t2J000005YpyPQAS,SAP,,,Practice Manager,,,,,325.0,350.0,275.0,,USA,,,,Services
4844,2018-01-18,a1t2J000005YpyPQAS,SAP,,,Sr Consultant - Engagement Management,,,,,325.0,350.0,275.0,,USA,,,,Services
4845,2018-01-18,a1t2J000005YpyPQAS,SAP,,,Sr Consultant - Big Data,,,,,325.0,350.0,275.0,,USA,,,,Services
