,Case #,SP Library
0,7459,201610
10,11310,201801
12,11315,201801
19,11318,201801
20,11352,201801
27,11370,201801
32,11371,201801
122,11381,201801
126,11413,201801
151,11434,201801
162,11485,201801
180,11493,201801
189,11512,201801
191,11520,201801
195,11521,201801
198,11524,201801
209,11535,201801
224,11548,201801
226,11561,201801
230,11602,201801
236,11617,201801
264,11657,201802
280,11664,201802
286,11681,201802
293,11712,201802
333,11724,201802
340,11727,201802
503,11730,201802
605,11753,201802
606,11755,201802
622,11898,201802
653,12006,201802
655,12153,201803
657,12224,201803
669,12229,201803
674,12308,201803
689,12385,201803
708,12389,201803
711,12498,201804
714,12526,201804
724,12541,201804
730,12558,201804
741,12580,201804
747,12600,201804
786,12601,201804
787,12604,201804
792,12651,201804
795,12653,201804
801,12692,201804
805,12704,201804
815,12754,201804
825,12762,201804
846,12801,201805
848,12862,201805
851,12907,201805
852,12909,201805
855,12930,201805
946,12986,201805
994,12997,201805
1005,13013,201805
1058,13052,201805
1059,13116,201805
1064,13131,201805
1067,13139,201805
1069,13145,201805
1080,13168,201805
1089,13198,201805
1190,13210,201805
1195,13330,201806
1199,13350,201806
1200,13358,201806
1215,13417,201806
1218,13470,201806
1311,13544,201806
1345,13551,201806
1348,13568,201806
1366,13570,201806
1404,13578,201806
1406,13579,201806
1410,13634,201806
1416,13644,201807
1426,13645,201807
1444,13648,201807
1455,13667,201807
1461,13685,201807
1554,13699,201807
1560,13713,201807
1562,13718,201807
1563,13719,201807
1677,13745,201807
1680,13772,201807
1711,13791,201807
1720,13818,201807
1774,13827,201807
1783,13863,201807
1839,13886,201807
1843,13896,201807
1844,13913,201807
1845,13959,201807
1847,14008,201807
1848,14039,201808
1854,14044,201808
1962,14083,201808
1968,14124,201808
1970,14132,201808
1976,14150,201808
1983,14170,201808
1992,14175,201808
2008,14199,201808
2012,14209,201808
2015,14239,201808
2030,14247,201808
2034,14262,201808
2038,14270,201808
2040,14339,201808
2042,14368,201808
2047,14375,201808
2055,14425,201809
2056,14428,201809
2066,14462,201809
2084,14472,201809
2105,14508,201809
2124,14511,201809
2128,14610,201809
2171,14654,201809
2173,14660,201809
2185,14753,201809
2189,14768,201809
2192,14844,201810
2218,14858,201810
2219,14913,201810
2234,14918,201810
2235,14924,201810
2293,14908,201810
2296,14985,201810
2299,15078,201810
2302,15095,201810
2310,15164,201810
2313,15180,201810
2344,15210,201810
2349,15220,201810
2352,15255,201810
2354,15293,201811
2359,15310,201811
2397,15316,201811
2401,15347,201811
2404,15383,201811
2410,15401,201811
2414,15434,201811
2419,15449,201811
2436,15514,201811
2437,15538,201811
2457,15618,201811
2459,15642,201811
2470,15644,201811
2476,15701,201811
2486,15736,201812
2491,15785,201812
2496,15786,201812
2499,15788,201812
2503,15799,201812
2506,15805,201812
2509,15809,201812
2527,15831,201812
2535,15838,201812
2547,15843,201812
2624,15844,201812
2682,15896,201812
2798,15943,201812
2804,16016,201812
2815,16018,201812
2816,16047,201812
2818,16087,201901
2829,16101,201901
2837,16111,201901
2873,16148,201901
2890,16150,201901
2971,16156,201901
3001,16180,201901
3010,16181,201901
3012,16187,201901
3017,16194,201901
3028,16219,201901
3046,16236,201901
3048,16238,201901
3089,16299,201901
3117,16311,201901
3120,16316,201901
3121,16371,201901
3129,16372,201901
3139,16376,201901
3223,16385,201901
3226,16390,201901
3266,16394,201901
3284,16400,201901
3289,16401,201901
3304,16409,201901
3306,16415,201901
3314,16416,201901
3331,16428,201901
3370,16525,201902
3406,16584,201902
3414,16597,201902
3419,16606,201902
3421,16612,201902
3427,16619,201902
3443,16624,201902
3469,16673,201902
3477,16695,201902
3483,16759,201902
3489,16778,201902
